"Region","Location","Rep","Block","Hybrid","GY"
"TR","E14",1,5,"G34",3.9
"TR","E14",1,4,"G18",3.92
"TR","E14",1,6,"G30",6.59
"TR","E14",1,5,"G27",6.75
"TR","E14",1,5,"G29",5.28
"TR","E14",1,4,"G26",6.16
"TR","E14",1,3,"G15",4.67
"TR","E14",1,2,"G19",6.18
"TR","E14",1,1,"G5",6.52
"TR","E14",1,4,"G16",5.07
"TR","E14",1,1,"G6",5.11
"TR","E14",1,3,"G17",4.28
"TR","E14",1,2,"G23",2.84
"TR","E14",1,6,"G31",6.01
"TR","E14",1,3,"G12",5.11
"TR","E14",1,5,"G28",4.3
"TR","E14",1,2,"G13",7.46
"TR","E14",1,5,"G24",6.4
"TR","E14",1,5,"G25",3.63
"TR","E14",1,4,"G11",5.48
"TR","E14",1,1,"G21",4.41
"TR","E14",1,4,"G35",5.94
"TR","E14",1,2,"G7",7.41
"TR","E14",1,1,"G8",6.11
"TR","E14",1,1,"G22",5.25
"TR","E14",1,6,"G33",4.28
"TR","E14",1,6,"G32",4.55
"TR","E14",1,3,"G10",4.73
"TR","E14",1,1,"G36",7.18
"TR","E14",1,2,"G14",4.87
"TR","E14",1,2,"G1",7.58
"TR","E14",1,3,"G2",8.05
"TR","E14",1,4,"G4",7.44
"TR","E14",1,6,"G3",2.03
"TR","E14",2,9,"G9",4.53
"TR","E14",2,11,"G20",5.5
"TR","E14",2,8,"G34",4.37
"TR","E14",2,10,"G18",4
"TR","E14",2,9,"G30",7.16
"TR","E14",2,11,"G27",3.05
"TR","E14",2,7,"G29",6.81
"TR","E14",2,11,"G26",4.22
"TR","E14",2,8,"G15",4.64
"TR","E14",2,11,"G19",3.23
"TR","E14",2,12,"G5",4.42
"TR","E14",2,7,"G16",5.33
"TR","E14",2,9,"G6",3
"TR","E14",2,11,"G17",5.61
"TR","E14",2,7,"G23",3.6
"TR","E14",2,7,"G31",2.59
"TR","E14",2,10,"G12",6.42
"TR","E14",2,12,"G28",5.01
"TR","E14",2,12,"G13",5.73
"TR","E14",2,9,"G24",6.68
"TR","E14",2,10,"G25",5.05
"TR","E14",2,8,"G11",4.49
"TR","E14",2,8,"G21",3.18
"TR","E14",2,12,"G35",4.84
"TR","E14",2,8,"G7",4.77
"TR","E14",2,10,"G8",5.88
